dictionary
"[id, longitude, latitude, time, NDSI_Snow_Cover, NDSI_Snow_Cover_Class, NDSI_Snow_Cover_Basic_QA, NDSI_Snow_Cover_Algorithm_Flags_QA, NDSI, Snow_Albedo_Daily_Tile, Snow_Albedo_Daily_Tile_Class, orbit_pnt, granule_pnt]"
"[2022_06_21, 162.30086817008424, -77.7199925938107, 1655769600000, null, null, null, null, null, null, null, null, null]"
"[2022_06_22, 162.30086817008424, -77.7199925938107, 1655856000000, null, null, null, null, null, null, null, null, null]"
"[2022_06_23, 162.30086817008424, -77.7199925938107, 1655942400000, null, null, null, null, null, null, null, null, null]"
"[2022_06_24, 162.30086817008424, -77.7199925938107, 1656028800000, null, null, null, null, null, null, null, null, null]"
"[2022_06_25, 162.30086817008424, -77.7199925938107, 1656115200000, null, null, null, null, null, null, null, null, null]"
"[2022_06_26, 162.30086817008424, -77.7199925938107, 1656201600000, null, null, null, null, null, null, null, null, null]"
"[2022_06_27, 162.30086817008424, -77.7199925938107, 1656288000000, null, null, null, null, null, null, null, null, null]"
"[2022_06_28, 162.30086817008424, -77.7199925938107, 1656374400000, null, null, null, null, null, null, null, null, null]"
"[2022_06_29, 162.30086817008424, -77.7199925938107, 1656460800000, null, null, null, null, null, null, null, null, null]"
"[2022_06_30, 162.30086817008424, -77.7199925938107, 1656547200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_01, 162.30086817008424, -77.7199925938107, 1656633600000, null, null, null, null, null, null, null, null, null]"
"[2022_07_02, 162.30086817008424, -77.7199925938107, 1656720000000, null, null, null, null, null, null, null, null, null]"
"[2022_07_03, 162.30086817008424, -77.7199925938107, 1656806400000, null, null, null, null, null, null, null, null, null]"
"[2022_07_04, 162.30086817008424, -77.7199925938107, 1656892800000, null, null, null, null, null, null, null, null, null]"
"[2022_07_05, 162.30086817008424, -77.7199925938107, 1656979200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_06, 162.30086817008424, -77.7199925938107, 1657065600000, null, null, null, null, null, null, null, null, null]"
"[2022_07_07, 162.30086817008424, -77.7199925938107, 1657152000000, null, null, null, null, null, null, null, null, null]"
"[2022_07_08, 162.30086817008424, -77.7199925938107, 1657238400000, null, null, null, null, null, null, null, null, null]"
"[2022_07_09, 162.30086817008424, -77.7199925938107, 1657324800000, null, null, null, null, null, null, null, null, null]"
"[2022_07_10, 162.30086817008424, -77.7199925938107, 1657411200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_11, 162.30086817008424, -77.7199925938107, 1657497600000, null, null, null, null, null, null, null, null, null]"
"[2022_07_12, 162.30086817008424, -77.7199925938107, 1657584000000, null, null, null, null, null, null, null, null, null]"
"[2022_07_13, 162.30086817008424, -77.7199925938107, 1657670400000, null, null, null, null, null, null, null, null, null]"
"[2022_07_14, 162.30086817008424, -77.7199925938107, 1657756800000, null, null, null, null, null, null, null, null, null]"
"[2022_07_15, 162.30086817008424, -77.7199925938107, 1657843200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_16, 162.30086817008424, -77.7199925938107, 1657929600000, null, null, null, null, null, null, null, null, null]"
"[2022_07_17, 162.30086817008424, -77.7199925938107, 1658016000000, null, null, null, null, null, null, null, null, null]"
"[2022_07_18, 162.30086817008424, -77.7199925938107, 1658102400000, null, null, null, null, null, null, null, null, null]"
"[2022_07_19, 162.30086817008424, -77.7199925938107, 1658188800000, null, null, null, null, null, null, null, null, null]"
"[2022_07_20, 162.30086817008424, -77.7199925938107, 1658275200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_21, 162.30086817008424, -77.7199925938107, 1658361600000, null, null, null, null, null, null, null, null, null]"
"[2022_07_22, 162.30086817008424, -77.7199925938107, 1658448000000, null, null, null, null, null, null, null, null, null]"
"[2022_07_23, 162.30086817008424, -77.7199925938107, 1658534400000, null, null, null, null, null, null, null, null, null]"
"[2022_07_24, 162.30086817008424, -77.7199925938107, 1658620800000, null, null, null, null, null, null, null, null, null]"
"[2022_07_25, 162.30086817008424, -77.7199925938107, 1658707200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_26, 162.30086817008424, -77.7199925938107, 1658793600000, null, null, null, null, null, null, null, null, null]"
"[2022_07_27, 162.30086817008424, -77.7199925938107, 1658880000000, null, null, null, null, null, null, null, null, null]"
"[2022_07_28, 162.30086817008424, -77.7199925938107, 1658966400000, null, null, null, null, null, null, null, null, null]"
"[2022_07_29, 162.30086817008424, -77.7199925938107, 1659052800000, null, null, null, null, null, null, null, null, null]"
"[2022_07_30, 162.30086817008424, -77.7199925938107, 1659139200000, null, null, null, null, null, null, null, null, null]"
"[2022_07_31, 162.30086817008424, -77.7199925938107, 1659225600000, null, null, null, null, null, null, null, null, null]"
"[2022_08_01, 162.30086817008424, -77.7199925938107, 1659312000000, null, null, null, null, null, null, null, null, null]"
"[2022_08_02, 162.30086817008424, -77.7199925938107, 1659398400000, null, null, null, null, null, null, null, null, null]"
