dictionary
"[id, longitude, latitude, time, NDSI_Snow_Cover, NDSI_Snow_Cover_Class, NDSI_Snow_Cover_Basic_QA, NDSI_Snow_Cover_Algorithm_Flags_QA, NDSI, Snow_Albedo_Daily_Tile, Snow_Albedo_Daily_Tile_Class, orbit_pnt, granule_pnt]"
"[2022_09_07, 161.93255890359526, -77.38761593868648, 1662508800000, 87, null, 2, 128, 8756, 45, null, 5, 6]"
"[2022_09_08, 161.93255890359526, -77.38761593868648, 1662595200000, null, 211, 211, 211, null, null, 111, 4, 4]"
"[2022_09_09, 161.93255890359526, -77.38761593868648, 1662681600000, 0, null, 2, 148, 599, null, 125, 5, 7]"
"[2022_09_10, 161.93255890359526, -77.38761593868648, 1662768000000, null, 211, 211, 211, null, null, 111, 4, 5]"
"[2022_09_11, 161.93255890359526, -77.38761593868648, 1662854400000, 85, null, 2, 128, 8499, 44, null, 6, 7]"
"[2022_09_12, 161.93255890359526, -77.38761593868648, 1662940800000, 85, null, 2, 128, 8537, 54, null, 5, 6]"
"[2022_09_13, 161.93255890359526, -77.38761593868648, 1663027200000, 69, null, 2, 128, 6873, 49, null, 5, 7]"
"[2022_09_14, 161.93255890359526, -77.38761593868648, 1663113600000, 0, null, 2, 148, 208, null, 125, 4, 5]"
"[2022_09_15, 161.93255890359526, -77.38761593868648, 1663200000000, 0, null, 2, 148, 660, null, 125, 5, 5]"
"[2022_09_16, 161.93255890359526, -77.38761593868648, 1663286400000, 34, null, 2, 128, 3411, 72, null, 5, 6]"
"[2022_09_17, 161.93255890359526, -77.38761593868648, 1663372800000, null, 250, 2, 128, 4219, null, 150, 5, 7]"
"[2022_09_18, 161.93255890359526, -77.38761593868648, 1663459200000, 63, null, 2, 128, 6306, 66, null, 5, 6]"
"[2022_09_19, 161.93255890359526, -77.38761593868648, 1663545600000, 87, 201, 2, 130, 8814, 34, 101, 5, 6]"
"[2022_09_20, 161.93255890359526, -77.38761593868648, 1663632000000, 33, null, 2, 128, 3319, 85, null, 6, 7]"
"[2022_09_21, 161.93255890359526, -77.38761593868648, 1663718400000, 51, null, 2, 128, 5081, 90, null, 5, 7]"
"[2022_09_22, 161.93255890359526, -77.38761593868648, 1663804800000, 50, null, 2, 128, 5027, 65, null, 5, 7]"
"[2022_09_23, 161.93255890359526, -77.38761593868648, 1663891200000, 0, null, 2, 144, 2024, null, 125, 5, 7]"
"[2022_09_24, 161.93255890359526, -77.38761593868648, 1663977600000, 60, null, 2, 128, 6044, 98, null, 5, 7]"
"[2022_09_25, 161.93255890359526, -77.38761593868648, 1664064000000, 64, null, 2, 128, 6408, 62, null, 5, 7]"
"[2022_09_26, 161.93255890359526, -77.38761593868648, 1664150400000, 68, null, 2, 128, 6886, 96, null, 5, 7]"
"[2022_09_27, 161.93255890359526, -77.38761593868648, 1664236800000, 40, 250, 2, 128, 3757, 56, 150, 7, 9]"
